node_num,node_id,concept_type,name,tier,created_at,first_seen_batch,last_seen_batch,profile_id
1907,concept_domain_e19086aaa18e,Domain,History,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1908,concept_domain_1b0fc624c2e1,Domain,"Political Science",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1909,concept_domain_cee803d4cfc3,Domain,Sociology,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_2r_outputs.normalized,
1910,concept_domain_0cb9c36cb6da,Domain,Ethics,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1911,concept_domain_68b5c531a430,Domain,"American Studies",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1912,concept_theme_7a0a498a851b,Theme,"Presidential Leadership",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1913,concept_theme_a9d4963e4af4,Theme,"Civil Rights Foundations",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1914,concept_theme_7252661eddc1,Theme,"Racism & Anti‑Racism Discourse",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1915,concept_theme_1153174560cc,Theme,"Abolitionist Movements",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1916,concept_theme_fdb178f712b2,Theme,"Native American Policy",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1917,concept_theme_e2d0e38cfde1,Theme,"Reconstruction Era",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1918,concept_theme_820db04b004d,Theme,"Political Ideology of Early Republic",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1919,concept_theme_297d28a28e80,Theme,"Modern Interpretations of Historical Figures",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1920,concept_person_8240af5ee220,Person,"Abraham Lincoln",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1921,concept_person_5ebf778f5317,Person,"Ulysses S. Grant",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1922,concept_person_21f27c1e1465,Person,"Warren G. Harding",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1923,concept_person_e44b6c0c3af3,Person,"John Adams",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1924,concept_person_f6c4b3732059,Person,"John Quincy Adams",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1925,concept_event_2b3c90ec0ea9,Event,"13th Amendment",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1926,concept_event_00d56a9ad99d,Event,"Reconstruction Acts",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1927,concept_event_3f0cb2a18c66,Event,"Amistad case",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
